evaluation_month,n_common_sample_months,Equal Weight,Minimum Variance Classical,Minimum Variance Long Only,HRP
2006-03,118,0.1281615219586703,11.599779482602939,0.18448367025621212,0.3777621554506551
2006-05,119,,,,
2006-06,120,0.09136258450066695,7.028120692617675,0.40340014369822486,0.28058730531494985
2006-07,120,0.0684757125377433,7.878584154490194,0.23245183087551857,0.26704163293161265
2006-08,120,0.14956316746804516,6.573598790043761,0.7413007590493699,0.3541212214269992
2006-09,120,0.09444457684330335,6.20760765776208,0.0666631568505966,0.32513711725921857
2006-10,120,0.09712371777005827,5.423633097099786,0.15822846406803437,0.2895997009618021
2006-11,120,0.054758731353861376,3.676492632094539,0.06052767950987604,0.30684928365462794
2006-12,120,0.07040024200045383,5.969399132639373,0.12171169242953907,0.29538546320423864
2007-02,120,,,,
2007-03,114,0.06773898173954682,6.423630508324023,0.3908447089760892,0.34498977457148833
2007-04,115,0.05149066344870452,4.159649778229657,0.02117672992604212,0.29614886323060746
2007-05,116,0.07548488488394291,8.344154858533825,0.27439930895379916,0.25949745915597194
2007-06,117,0.0898601922723829,5.466501188199812,0.6993409813749331,0.27326810312951727
2007-07,118,0.08715769366201544,8.547839738804983,0.08979610379311288,0.3197115910636574
2007-08,119,0.06725786989725371,3.369025503635633,0.07470209639316064,0.2738805587515398
2007-09,120,0.07441252691114694,4.053686221802179,0.14178932014920598,0.2990648606685119
2007-10,120,0.08093003236695008,3.60673398898793,0.22639766624225127,0.2954487434978911
2007-11,120,0.13059201251425595,5.609091419222048,0.42812061239931265,0.38529546033837236
2007-12,120,0.09038139050274972,4.745293502286806,0.8352693679351925,0.2839578007962932
2008-01,120,0.12182975773073056,3.919496533245205,0.3340388896743709,0.31126662066954547
2008-02,120,0.11927035062014446,5.765138535416343,0.29672435387752943,0.32209136623772544
2008-03,120,0.11593073413150026,1.866184058143393,0.7785195258202953,0.3572255345783515
2008-04,114,0.14168809536996393,5.474241850207159,0.9685555312969656,0.34390233688809985
2008-05,115,0.14490616233999254,4.478977342110894,0.11328121918868837,0.3147850387537106
2008-06,116,0.10761684131437627,5.52221509209158,0.3659046649010778,0.26900215159226204
2008-07,117,0.14895791118410767,5.8096025592290115,0.32731540240123436,0.3295392259213604
2008-08,118,0.15727893909589452,5.4670917020215395,0.25825006072279455,0.3140935714613254
2008-09,119,0.07872511071000797,2.4569316365921967,0.10258282904544881,0.23060412764825858
2008-10,120,0.23395602027438014,7.062926541075348,0.536122022368611,0.4210465932628251
2008-11,120,0.21068074459232697,7.014126897659832,0.3974637500867868,0.3572799277347839
2008-12,114,0.23375619530625413,10.81326916872087,0.49450415639808554,0.45631621104329667
2009-02,114,,,,
2009-03,114,0.18126762282038658,7.8884075144742845,0.1839504960801157,0.3545998240576757
2009-04,115,0.15342103268585608,9.677589290682002,0.2937657309922341,0.38848517250680026
2009-05,114,0.2120051878686254,13.189637902365043,0.6776254497035519,0.3969855122982817
2009-06,114,0.13651895583904694,6.269959212327894,0.20744009519707612,0.3110468076485836
2009-07,115,0.16468998547066588,11.044714567208098,0.5287080098202986,0.3637159841283877
2009-08,116,0.12988614311824198,11.24862185818893,0.5406223799495482,0.3798036777128496
2009-09,117,0.09715896676350097,5.985339508699663,0.17626658829412237,0.32238356906855614
2009-10,118,0.08863821534701986,3.6390620599258368,0.15949992792012613,0.2942827786996421
2009-11,114,0.10412455549258987,3.154704986419893,0.5132945789013585,0.4069796922445398
2009-12,115,0.10008919708040408,5.842213486039261,0.25353114387195835,0.2786363246891916
2010-01,116,0.07749089540162446,3.9125141435596325,0.0734484055989856,0.29655481096597663
2010-02,117,0.10341062884249434,4.339468258094136,0.17857160942613504,0.2787440024467988
2010-03,118,0.09110271225068248,5.779313968646898,0.15337556780962588,0.23943244367386807
2010-04,119,0.05588760247795997,2.202524582319009,0.06770586966484003,0.32630205898411474
2010-05,114,0.08750045283230026,8.018824621265953,0.2564050182734349,0.3076542245609939
2010-06,115,0.07402691818306967,8.379304763453694,0.1802145021347173,0.22539946898963598
2010-07,116,0.10325928207032806,6.205442863745773,0.07424052782345358,0.3053005380814302
2010-08,117,0.08292283849810096,5.001455766975116,0.11487045620553978,0.2759921621947549
2010-09,118,0.06788691229204297,2.953714037327895,0.04907228945004846,0.26395486726375633
2010-10,119,0.059410913669726936,3.888379072130387,0.15489609240861815,0.2719030422841644
2010-11,120,0.0614413343801571,4.612559263206487,0.052241154722725,0.23150994586820597
2010-12,120,0.0989592128005167,7.239085814584652,0.6458655146392116,0.3477163661900201
2011-01,114,0.08295072503958753,3.8694702959780445,0.3234769188098529,0.3000574800796657
2011-02,115,0.12178185998857238,9.013026598161435,0.0748340839815244,0.28682046707067155
2011-03,116,0.07343417836769815,6.959493537668257,0.42388067629490755,0.3330650791389814
2011-04,117,0.054529845291089785,5.607631650346433,0.06037909741681817,0.22721795111099094
2011-05,114,0.07450526592799452,2.3958446399121685,0.2542828979876279,0.3214637198376127
2011-06,115,0.09459618123771382,2.279443255547429,0.07155839006358491,0.2523117305064995
2011-07,114,0.10682957300334522,9.090423657710858,0.18118616991196845,0.2806591210473719
2011-08,115,0.15123076465602964,8.444203020761796,0.415487463913279,0.3398985604387825
2011-09,120,0.13491275734456787,7.909833388317807,0.1282912247537916,0.3035568772074846
2011-10,117,0.19718788246564345,11.689460516743912,0.4871973736712488,0.36650064266776655
2011-11,118,0.17244793342863432,18.142949094845992,0.5177455598751608,0.39602116120104036
2011-12,120,0.13459538680040586,10.99842243122289,0.48818717319668725,0.30833988823624664
2012-01,120,0.06448601971997332,7.281329031856964,0.1104677675616968,0.29237526129664965
2012-02,120,0.09419779916332886,10.283596302646377,0.4890742012869099,0.2890873627334004
2012-03,120,0.09826440587443615,7.069582981781272,0.05850743970358973,0.2784993746590133
2012-04,120,0.0962321263149802,8.798608747954836,0.14943205107255758,0.30862331919615404
2012-05,120,0.07362135560222023,12.022443248573037,0.07005726035000594,0.2455349816190085
2012-06,114,0.14604251106521918,8.73249828968049,0.36894980112616543,0.34520991400369755
2012-07,115,0.07322891748180518,8.923096719201773,0.11934696377261698,0.32344402507255604
2012-08,116,0.05334690654205468,1.8267106293051714,0.07749946432826428,0.20274656629648505
2012-09,117,0.07602430799073986,4.183268474270582,0.06118631655147864,0.26546835297035576
2012-10,118,0.047871196697011495,5.712571810226656,0.06846902778077454,0.13589785058146533
2012-11,119,0.07742637927359045,6.6401250005767745,0.02067596283663848,0.2458497953658467
2012-12,120,0.0758804021198548,5.973119524811179,0.040782096949501634,0.29057509451513974
2013-01,120,0.05118468393250882,4.122995809208208,0.10742991226753548,0.22606585929776313
2013-02,120,0.0707920963552036,7.057693817303614,0.1388536707881335,0.33418299894847064
2013-03,120,0.0837556019843094,7.721246014626219,0.5930857927777295,0.32558328298910927
2013-04,120,0.06993914450295284,1.8178045683398258,0.1478794464751846,0.2688489537728837
2013-05,120,0.06902327936287432,2.3273662040415064,0.13041922897203392,0.2653359755638651
2013-06,120,0.12197152796319902,13.849194246430446,0.6157365745098811,0.3197279505674896
2013-07,114,0.0877955693007532,11.253968266459411,0.5307863238789075,0.32745476426264075
2013-08,115,0.09188817022260884,10.896481199253472,0.09751606254880377,0.2698569379219005
2013-09,120,0.08759484847858257,11.081365823528623,0.507664066081722,0.3781533674125785
2013-10,120,0.08870231609732579,9.524051624256861,0.06287478434991961,0.24085285453276106
2013-11,120,0.07376855067592988,6.961702083281182,0.21299511134710425,0.23230178903700613
2013-12,120,0.09277637502623237,5.247765853791153,0.6378447016658272,0.2907499775644227
2014-01,120,0.06809237173491883,5.373208866436375,0.12139269551473525,0.21612299778510619
2014-02,115,0.09968993401849377,8.390425110544905,0.6955777799695809,0.3092375690699881
2014-03,114,0.10677112249250886,6.457419437390846,0.6559905557879162,0.33485853666866094
2014-04,115,0.0908188918753477,7.52865487078684,0.6926965313056466,0.30165882992949933
2014-05,116,0.0748262261821153,4.079967823139425,0.08713887126200076,0.18967932929030729
2014-06,114,0.06548086827654902,4.489972146738642,0.2345291942121816,0.26497283601749083
2014-07,114,0.08605189015546127,8.211186668052225,0.2232994045253649,0.26971094370077414
2014-08,115,0.09400533448515457,4.652167021546723,0.9193268849122057,0.3420938692564328
2014-09,116,0.06799946688506725,5.759784386109216,0.24952683278495158,0.31038990723676874
2014-10,117,0.048562788721050444,2.7217218151132694,0.41532837451288895,0.2728794739534699
2014-11,118,0.0759954216221036,3.0725182704744993,0.7020585708102153,0.34018936791302656
2014-12,119,0.07140099346003301,4.539975239333399,0.13120299578585332,0.3071646989529314
2015-02,120,,,,
2015-03,120,0.07259435466322296,1.774871266518892,0.26974389065431825,0.3030542319144104
2015-04,120,0.046629568932668654,4.5732125042961895,0.10473427571653054,0.24898339339265974
2015-05,120,0.09702957092336807,5.354780505869462,0.07102708754115875,0.3299322391346732
2015-06,120,0.08539517868989267,5.034302891958037,0.6618819841233423,0.3211214318698035
2015-07,120,0.09041559160791551,5.048355952905529,0.20146309657895847,0.2768953575098218
2015-08,120,0.1626664864092599,4.691321562422462,0.866419436802867,0.40083536655981067
2015-09,120,0.06919985616138052,3.486921181948777,0.12590838937380566,0.25010205539094515
2015-10,120,0.05313947591513352,3.2603373650730503,0.034838739906105996,0.2644004649503426
2015-11,120,0.03986423666935929,1.642628679991203,0.14869573593307683,0.2838909171390259
2015-12,114,0.06963299905033965,5.578812083307506,0.1398762764582461,0.33536476123032255
2016-01,115,0.05430550811936314,3.819588046897084,0.06072324814021917,0.25334451130449426
2016-02,116,0.11955575422997149,3.526852622483865,0.07412787699382622,0.2716166890315869
2016-03,117,0.09864633576314016,5.433529293100272,0.11817258250853599,0.21219234565846798
2016-04,118,0.08813145885771584,5.496310082221472,0.6131941853173539,0.32415486179727093
2016-05,119,0.0991556845193532,6.672271397849685,0.5275905269884041,0.32454318968867624
2016-06,120,0.05152076353761216,1.3625361140041923,0.07600467493106938,0.3086801761342202
2016-07,120,0.08384538904581915,6.058483933790629,0.37491265882705943,0.3328246898092889
2016-08,120,0.07742808114441381,3.839616517489314,0.1115144482892368,0.2706373946410579
2016-09,120,0.07150663236741375,7.331036329127788,0.0784871627941515,0.26712332459387755
2016-10,120,0.08708015836383357,3.435204060844365,0.41094583859981043,0.32767693413138105
2016-11,114,0.09961254965868213,7.725651667454163,0.20650913965995665,0.2888989335483662
2016-12,115,0.11811139803767952,4.804171563939843,0.138246240364403,0.30276369782999485
2017-01,116,0.10577992885474963,4.9553801230142405,0.09607189436864581,0.24863373021475219
2017-02,117,0.09305879360382886,3.789540024249009,0.18633752637786452,0.27290520082943165
2017-03,118,0.051274329476173525,9.46160106432658,0.061534269490360574,0.31056978188361406
2017-04,119,0.04426097971287761,8.055453037009752,0.006588083310391695,0.09566242084314996
2017-05,120,0.087418510625336,4.702032195782138,0.07362956381939403,0.29345513776257137
2017-06,120,0.11699242282965312,6.571823941279478,0.14287693065352847,0.34420669490157785
2017-07,120,0.08090471102859778,6.648559054048996,0.15253808602867763,0.30129261822318193
2017-08,120,0.10800891093384474,4.19024487259392,0.3128320442190835,0.31979895818254467
2017-10,114,,,,
