evaluation_month,universe_month,n_universe_assets,n_eligible_assets,n_common_sample_months,condition_number
2013-07,2013-06,3636,100,114,114350.15593928531
2013-08,2013-07,3636,100,115,183000.2938782922
2013-09,2013-08,3637,100,120,126442.38702281205
2013-10,2013-09,3650,100,120,110339.98375372686
2013-11,2013-10,3652,100,120,109601.29856085028
2013-12,2013-11,3653,100,120,104346.666727087
2014-01,2013-12,3653,100,120,95614.92501466876
2014-02,2014-01,3663,100,115,122460.86422267824
2014-03,2014-02,3665,100,114,170227.41597934606
2014-04,2014-03,3690,100,115,141454.69871351216
2014-05,2014-04,3706,100,116,137723.08711180024
2014-06,2014-05,3714,100,114,155355.35216461477
2014-07,2014-06,3731,100,114,241211.69969918614
2014-08,2014-07,3749,100,115,198766.68837378314
2014-09,2014-08,3757,100,116,242465.38571623387
2014-10,2014-09,3755,100,117,208265.1803879266
2014-11,2014-10,3770,100,118,187934.848804066
2014-12,2014-11,3780,100,119,158862.88113780657
2015-01,2014-12,3781,100,120,151862.7447369038
2015-02,2015-01,3772,100,120,166550.37097024036
2015-03,2015-02,3764,100,120,119140.67460757092
2015-04,2015-03,3754,100,120,127521.21728304133
2015-05,2015-04,3756,100,120,192007.88142089514
2015-06,2015-05,3762,100,120,140129.9675722544
2015-07,2015-06,3772,100,120,162165.86069584143
2015-08,2015-07,3785,100,120,163880.6252953641
2015-09,2015-08,3786,100,120,140540.05252090644
2015-10,2015-09,3778,100,120,114603.65617136372
2015-11,2015-10,3766,100,120,110059.7287324869
2015-12,2015-11,3772,100,114,169291.61381248565
2016-01,2015-12,3752,100,115,166662.31174047332
2016-02,2016-01,3721,100,116,158076.37669419212
2016-03,2016-02,3701,100,117,177570.69302525313
2016-04,2016-03,3691,100,118,153885.440089258
2016-05,2016-04,3687,100,119,119605.86883978457
2016-06,2016-05,3670,100,120,129683.13589269198
2016-07,2016-06,3666,100,120,129403.97295777367
2016-08,2016-07,3658,100,120,134402.18180273272
2016-09,2016-08,3645,100,120,132615.51467367835
2016-10,2016-09,3629,100,120,145458.35949032722
2016-11,2016-10,3636,100,114,239320.54955713975
2016-12,2016-11,3625,100,115,287887.9596794365
2017-01,2016-12,3611,100,116,266621.71413468
2017-02,2017-01,3610,100,117,273696.07432188647
2017-03,2017-02,3599,100,118,195670.38653324157
2017-04,2017-03,3599,100,119,250617.5763979975
2017-05,2017-04,3604,100,120,225638.25859736907
2017-06,2017-05,3600,100,120,251978.85218421617
2017-07,2017-06,3601,100,120,261673.265206312
2017-08,2017-07,3601,100,120,227390.76151154237
2017-09,2017-08,3599,100,120,244436.3506861101
2017-10,2017-09,3583,100,114,310718.0575830592
2017-11,2017-10,3583,100,115,296688.6904737718
2017-12,2017-11,3587,100,116,353250.01898232015
2018-01,2017-12,3575,100,117,307989.5383017782
2018-02,2018-01,3578,100,118,283535.65870698367
2018-03,2018-02,3572,100,119,177958.91090604616
2018-04,2018-03,3579,100,120,163683.11840293644
2018-05,2018-04,3573,100,120,252728.60386909073
2018-06,2018-05,3584,100,120,244551.39627988893
2018-07,2018-06,3600,100,120,216054.08131209732
2018-08,2018-07,3607,100,120,193910.56061819074
2018-09,2018-08,3609,100,120,161011.37098533532
2018-10,2018-09,3620,100,120,155252.3985494328
2018-11,2018-10,3620,100,120,116751.81790700239
2018-12,2018-11,3606,100,120,103173.63592315355
2019-01,2018-12,3599,100,120,121125.61227974221
2019-02,2019-01,3586,100,120,111960.29786589186
2019-03,2019-02,3584,100,120,98680.93590231067
2019-04,2019-03,3575,100,120,116623.10588896391
2019-05,2019-04,3582,100,120,85645.20521319933
2019-06,2019-05,3595,100,120,92130.20823398416
2019-07,2019-06,3611,100,120,106454.71099534644
2019-08,2019-07,3616,100,120,90992.61182091219
2019-09,2019-08,3606,100,120,81239.80172039196
2019-10,2019-09,3603,100,120,81908.94383491199
2019-11,2019-10,3606,100,120,86445.74988541941
2019-12,2019-11,3598,100,120,80538.79766085645
2020-01,2019-12,3583,100,114,91183.71624021207
2020-02,2020-01,3586,100,115,85987.08921262942
2020-03,2020-02,3587,100,116,104567.64643674037
2020-04,2020-03,3580,100,114,121578.25732787291
2020-05,2020-04,3574,100,115,124151.81120604162
2020-06,2020-05,3569,100,116,70756.18396508801
2020-07,2020-06,3574,100,117,94483.24233416123
2020-08,2020-07,3581,100,118,77184.41747753427
2020-09,2020-08,3594,100,119,63780.99333075748
2020-10,2020-09,3623,100,120,72602.22644994239
2020-11,2020-10,3663,100,120,94248.44680132439
2020-12,2020-11,3696,100,120,79431.87340953213
2021-01,2020-12,3732,100,120,78724.5149670758
2021-02,2021-01,3768,100,120,82483.63628835777
2021-03,2021-02,3822,100,120,126654.62001288055
2021-04,2021-03,3918,100,120,115362.90545085775
2021-05,2021-04,3998,100,120,95820.97781485844
2021-06,2021-05,4047,100,120,104106.52631342
2021-07,2021-06,4095,100,120,142111.6301013296
2021-08,2021-07,4162,100,120,168860.7680635996
2021-09,2021-08,4197,100,120,147400.92508007906
2021-10,2021-09,4238,100,120,124156.63801446241
2021-11,2021-10,4280,100,120,146355.4862454898
2021-12,2021-11,4324,100,114,182878.5853313619
