evaluation_date,n_common_sample_months,Equal Weight,Minimum Variance Classical,Minimum Variance Long Only,HRP
2005-02-01,120,0.058249313418646476,0.17116992791492192,0.05132284994565211,0.05591285009548763
2005-03-01,120,0.06402202090162668,0.16692451488080384,0.05873200010891182,0.05968296419530017
2005-04-01,120,0.06655505040967899,0.16840047762545687,0.05729120328407074,0.06141480047854516
2005-05-01,120,0.06693952025744598,0.16759624448427027,0.05367032831998522,0.058955476559769
2005-06-01,120,0.06755915960747315,0.16810249602973468,0.055185113809871386,0.06005070742751153
2005-07-01,120,0.07577582226242184,0.16585756181418165,0.06007317760051977,0.0653872870128283
2005-08-01,115,0.07812908551639373,0.16132059983151537,0.06072589800481104,0.06735272283479767
2005-09-01,120,0.0782011166659154,0.167327851005731,0.060613574076493475,0.06706267641993197
2005-11-01,114,0.08136026708597043,0.13612758887750862,0.065252303575437,0.06857689260195705
2005-12-01,114,0.07720220883388193,0.14263030760954576,0.06151439076725002,0.06377497018050408
2006-02-01,116,0.07166938521234616,0.14139977155235295,0.061970259690929556,0.05771403505695078
2006-03-01,118,0.06465988784583722,0.1589958860056644,0.06304288064662605,0.05256794893249875
2006-05-01,119,0.07236924637547128,0.18977100940638533,0.06301003273876711,0.05410761145017295
2006-06-01,120,0.06861959659997283,0.18279036221114378,0.05898462185218373,0.05163224824400123
2006-07-01,120,0.06510996525674284,0.19155364456673754,0.06834458695079257,0.04878184159175552
2006-08-01,120,0.06159689833330746,0.1904765190755426,0.06543563529115112,0.04837210549358817
2006-09-01,120,0.06353315093171745,0.19243198333359493,0.06448533966331424,0.047009526170122544
2006-10-01,120,0.05771409935886694,0.18971389887255652,0.06295985473015878,0.044386283682347726
2006-11-01,120,0.054457250387878416,0.19334648857871037,0.06208334538142177,0.04137569009510391
2006-12-01,120,0.0545932465950059,0.18320259902199673,0.06220572612417617,0.042182612357914664
2007-02-01,120,0.05544090639889135,0.19544204513591712,0.06325451334572932,0.04683348598676866
2007-03-01,114,0.05576448348991557,0.1507860585255316,0.06316998087526812,0.046933931502826015
2007-04-01,115,0.06801789720902424,0.15070977236324323,0.07054900662300445,0.05824892601044808
2007-05-01,116,0.07409088346320848,0.1479527513670817,0.06962007334375847,0.06194932273450713
2007-06-01,117,0.07017973756965577,0.1525884428988943,0.0791418467984161,0.06579147179995408
2007-07-01,118,0.07937751349939538,0.15686929769638144,0.08180521379485554,0.0754084922649754
2007-08-01,119,0.07886025266086405,0.14707520587397982,0.07391345836237409,0.07640559413429507
2007-09-01,120,0.08249938622052891,0.14694741289671934,0.08227023618789359,0.07959855364710629
2007-10-01,120,0.08187001722398034,0.145989761643068,0.08223911879079536,0.07959201368782567
2007-11-01,120,0.09483325193077631,0.15765890909201644,0.07944622057246972,0.08265614261114552
2007-12-01,120,0.09639183367923584,0.1672223785638627,0.08019828993977854,0.08524440340142088
2008-01-01,120,0.11649821553550037,0.16972924600133926,0.11081390337788907,0.10433428992173976
2008-02-01,120,0.1168390105274895,0.1684286888498914,0.1121249031418498,0.10391448494836178
2008-03-01,120,0.11660948399404461,0.19274622121596652,0.11395591043788944,0.10348560744623404
2008-04-01,114,0.11575179886165954,0.1908845077384494,0.11240599630448993,0.09734856299334184
2008-05-01,115,0.10914271979169413,0.20517323057567247,0.11316566403627512,0.09140127649197499
2008-06-01,116,0.13282169983676573,0.19316897231076494,0.11463939792596244,0.11316085009848077
2008-07-01,117,0.1316941858533713,0.1995316894650196,0.12004371166788198,0.11270991771845475
2008-08-01,118,0.1318838238010278,0.1973081323050209,0.12301450509437321,0.11227252077356484
2008-09-01,119,0.1532030058663865,0.23409657015232194,0.12402512607218118,0.12099857244606578
2008-10-01,120,0.19496959457881197,0.30128603910020524,0.15142378089955177,0.16106365326807182
2008-11-01,120,0.1990531634889464,0.3124462532717453,0.15132844522668987,0.16369377021706288
2008-12-01,114,0.20154818041612566,0.32664217284164504,0.15128801597498098,0.16462170506570908
2009-02-01,114,0.2150350428200893,0.33794947144332216,0.15984069696464773,0.18592686563124083
2009-03-01,114,0.2513473442798501,0.3500751228558656,0.1612350987066929,0.21008034892212604
2009-04-01,115,0.27786275073283134,0.40691047844585115,0.1589679436563236,0.22311634331183225
2009-05-01,114,0.2824647099948169,0.40472554323295074,0.1612308161514044,0.2291795006573275
2009-06-01,114,0.2798332316752497,0.3995896028909635,0.1602327540415965,0.22731756263607814
2009-07-01,115,0.2890408523453544,0.4014175863000345,0.1654498074598906,0.2329675356523793
2009-08-01,116,0.29188238422341256,0.39358443352273037,0.15978405916509775,0.23508243335170773
2009-09-01,117,0.29444306755573396,0.390288925567724,0.15516150175037444,0.23642778062430267
2009-10-01,118,0.2742325328796158,0.3932541933471461,0.1506026594485942,0.2264183382064538
2009-11-01,114,0.22308373316017982,0.3863394331232977,0.13538293863395867,0.19130860041264153
